KONTRA(DIGEA);722000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_3_4;FEC_NONE;QAM_16;TRANSMISSION_MODE_8K;GUARD_INTERVAL_1_8;HIERARCHY_NONE;5244;5246;3038
Kosmos(ERT);474000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;0;653;12
KOSMOS(ERT);530000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;0;301;6
MAD TV(DIGEA);722000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_3_4;FEC_NONE;QAM_16;TRANSMISSION_MODE_8K;GUARD_INTERVAL_1_8;HIERARCHY_NONE;5264;5266;3042
MEGA(DIGEA);522000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;1550;1551;500
M.tv(DIGEA);522000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;1450;1451;400
m.tv HD(DIGEA);546000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;2410;2411;2400
NICKELODEON(DIGEA);738000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_3_4;FEC_NONE;QAM_16;TRANSMISSION_MODE_8K;GUARD_INTERVAL_1_8;HIERARCHY_NONE;5424;5426;3064
Proto(ERT);474000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;0;652;11
PROTO(ERT);530000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;0;300;5
RIK(ERT);530000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;131;680;4
RISE(DIGEA);738000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_3_4;FEC_NONE;QAM_16;TRANSMISSION_MODE_8K;GUARD_INTERVAL_1_8;HIERARCHY_NONE;5404;5406;3060
SBC(DIGEA);738000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_3_4;FEC_NONE;QAM_16;TRANSMISSION_MODE_8K;GUARD_INTERVAL_1_8;HIERARCHY_NONE;5415;5416;3066
SKAI(DIGEA);522000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;1650;1651;600
SKAI HD(DIGEA);546000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;2610;2611;2600
SMILE(DIGEA);738000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_3_4;FEC_NONE;QAM_16;TRANSMISSION_MODE_8K;GUARD_INTERVAL_1_8;HIERARCHY_NONE;5464;5466;3072
STAR(DIGEA);522000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;1750;1751;700
STAR HD(DIGEA);546000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;2710;2711;2700
Trito(ERT);474000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;0;661;21
TRITO(ERT);530000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;0;302;7
TV 5 Europe(ERT);530000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;128;650;1
Voice Of Greece(ERT);474000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;0;672;32
Vouli(ERT);474000000;INVERSION_AUTO;BANDWIDTH_8_MHZ;FEC_AUTO;FEC_AUTO;QAM_AUTO;TRANSMISSION_MODE_AUTO;GUARD_INTERVAL_AUTO;HIERARCHY_AUTO;140;670;30

